review_id,record_type,record_id,source_key,target_id,issue_type,issue_description,priority,assigned_to,status,review_notes,created_at,resolved_at
rev_paalam_profile_fd8be8bb5345_minimal_profile,ai_extraction,paalam_profile_fd8be8bb5345,paalam,paalam_profile_fd8be8bb5345,minimal_profile,"Minimal profile (no sex/age); name, date, and city are supported. Accepted as-is.",medium,Yani,resolved,"Minimal profile (no sex/age); name, date, and city are supported. Accepted as-is.",2026-06-04T06:30:55Z,2026-06-04T06:30:55Z
rev_paalam_profile_efa195e681c2_alias_only,ai_extraction,paalam_profile_efa195e681c2,paalam,paalam_profile_efa195e681c2,alias_only,Alias-only victim ('Dodoy'); no real name available. Name left null; accepted as inherent limitation.,medium,Yani,resolved,Alias-only victim ('Dodoy'); no real name available. Name left null; accepted as inherent limitation.,2026-06-04T06:30:55Z,2026-06-04T06:30:55Z
rev_paalam_profile_5304e7e215e0_alias_only,ai_extraction,paalam_profile_5304e7e215e0,paalam,paalam_profile_5304e7e215e0,alias_only,Alias-only victim ('Dagul'); name left null; accepted as inherent limitation.,medium,Yani,resolved,Alias-only victim ('Dagul'); name left null; accepted as inherent limitation.,2026-06-04T06:30:55Z,2026-06-04T06:30:55Z
rev_paalam_profile_9a38f76e148f_alias_only,ai_extraction,paalam_profile_9a38f76e148f,paalam,paalam_profile_9a38f76e148f,alias_only,Alias-only victim; name left null; accepted as inherent limitation.,medium,Yani,resolved,Alias-only victim; name left null; accepted as inherent limitation.,2026-06-04T06:30:55Z,2026-06-04T06:30:55Z
rev_paalam_profile_716d60157553_gender_missing,ai_extraction,paalam_profile_716d60157553,paalam,paalam_profile_716d60157553,gender_missing,Gender not in Paalam structured fields; left 'unknown'. Otherwise a well-supported police-operation record.,medium,Yani,resolved,Gender not in Paalam structured fields; left 'unknown'. Otherwise a well-supported police-operation record.,2026-06-04T06:30:55Z,2026-06-04T06:30:55Z
rev_paalam_profile_bf5fc9288233_sensitive_official,ai_extraction,paalam_profile_bf5fc9288233,paalam,paalam_profile_bf5fc9288233,sensitive_official,"Sitting mayor on Duterte drug watchlist, killed by unknown assailants. Editorial/scope call.",high,Yani,needs_follow_up,"Sitting mayor on Duterte drug watchlist, killed by unknown assailants. Editorial/scope call.",2026-06-04T06:30:55Z,
rev_paalam_profile_3d6c39963120_sensitive_official,ai_extraction,paalam_profile_3d6c39963120,paalam,paalam_profile_3d6c39963120,sensitive_official,Sitting mayor who denied drug involvement; gender not stated. Editorial/scope call.,high,Yani,needs_follow_up,Sitting mayor who denied drug involvement; gender not stated. Editorial/scope call.,2026-06-04T06:30:55Z,
rev_paalam_profile_e7cd6c0ebee4_sensitive_official,ai_extraction,paalam_profile_e7cd6c0ebee4,paalam,paalam_profile_e7cd6c0ebee4,sensitive_official,"Town mayor on a 2017 narco-list, assassinated by riding-in-tandem gunmen. Editorial/scope call.",high,Yani,needs_follow_up,"Town mayor on a 2017 narco-list, assassinated by riding-in-tandem gunmen. Editorial/scope call.",2026-06-04T06:30:55Z,
rev_paalam_profile_a0e453420789_scope_review,ai_extraction,paalam_profile_a0e453420789,paalam,paalam_profile_a0e453420789,scope_review,Likely activist/peasant-organizer killing by 'suspected state forces' (red-tagging context); may be out of drug-war scope. Editorial call.,high,Yani,needs_follow_up,Likely activist/peasant-organizer killing by 'suspected state forces' (red-tagging context); may be out of drug-war scope. Editorial call.,2026-06-04T06:30:55Z,
rev_paalam_profile_7c4934ec4540_sensitive_official,ai_extraction,paalam_profile_7c4934ec4540,paalam,paalam_profile_7c4934ec4540,sensitive_official,Jail officer (BJMP) named on the presidential drug watch list; killed in a buy-bust. Sensitive state-employee case.,high,Yani,needs_follow_up,Jail officer (BJMP) named on the presidential drug watch list; killed in a buy-bust. Sensitive state-employee case.,2026-06-04T06:30:55Z,
rev_paalam_profile_dde54aa96345_scope_review,ai_extraction,paalam_profile_dde54aa96345,paalam,paalam_profile_dde54aa96345,scope_review,Army reservist killed by unknown assailants; no drug-war link in source. Scope/sensitivity call.,high,Yani,needs_follow_up,Army reservist killed by unknown assailants; no drug-war link in source. Scope/sensitivity call.,2026-06-04T06:30:55Z,
rev_paalam_profile_14b276681e95_scope_review,ai_extraction,paalam_profile_14b276681e95,paalam,paalam_profile_14b276681e95,scope_review,University student; a named suspect; no drug-war link in source. Scope call.,high,Yani,needs_follow_up,University student; a named suspect; no drug-war link in source. Scope call.,2026-06-04T06:30:55Z,
rev_paalam_profile_604a3a218f84_sensitive_record,ai_extraction,paalam_profile_604a3a218f84,paalam,paalam_profile_604a3a218f84,sensitive_record,"Young (19), prior Tokhang arrest, signs of torture, unknown assailants. Sensitive EJK pattern.",high,Yani,needs_follow_up,"Young (19), prior Tokhang arrest, signs of torture, unknown assailants. Sensitive EJK pattern.",2026-06-04T06:30:55Z,
rev_paalam_profile_9dab465c6a1a_manner_conflict,ai_extraction,paalam_profile_9dab465c6a1a,paalam,paalam_profile_9dab465c6a1a,manner_conflict,"Manner conflict: profile 'police operation' vs source vigilante-style killing (placard, hospital execution); gender not stated.",high,Yani,needs_follow_up,"Manner conflict: profile 'police operation' vs source vigilante-style killing (placard, hospital execution); gender not stated.",2026-06-04T06:30:55Z,
rev_paalam_profile_5dbb9505d4af_scope_review,ai_extraction,paalam_profile_5dbb9505d4af,paalam,paalam_profile_5dbb9505d4af,scope_review,Businessman; no drug-war link in source; manner 'Found dead'. Scope call.,high,Yani,needs_follow_up,Businessman; no drug-war link in source; manner 'Found dead'. Scope call.,2026-06-04T06:30:55Z,
rev_paalam_profile_46268ee51c59_sensitive_official,ai_extraction,paalam_profile_46268ee51c59,paalam,paalam_profile_46268ee51c59,sensitive_official,Barangay kagawad; manner conflict (profile 'police operation' vs source councilor shooting). Editorial call.,high,Yani,needs_follow_up,Barangay kagawad; manner conflict (profile 'police operation' vs source councilor shooting). Editorial call.,2026-06-04T06:30:55Z,
rev_paalam_profile_ee71b9dc7a06_sensitive_official,ai_extraction,paalam_profile_ee71b9dc7a06,paalam,paalam_profile_ee71b9dc7a06,sensitive_official,Barangay captain killed by unknown assailants; gender not stated. Editorial call.,high,Yani,needs_follow_up,Barangay captain killed by unknown assailants; gender not stated. Editorial call.,2026-06-04T06:30:55Z,
rev_paalam_profile_ba041f510f4e_sensitive_official,ai_extraction,paalam_profile_ba041f510f4e,paalam,paalam_profile_ba041f510f4e,sensitive_official,Barangay councilor killed by unknown assailants; no drug-war link in source. Editorial call.,high,Yani,needs_follow_up,Barangay councilor killed by unknown assailants; no drug-war link in source. Editorial call.,2026-06-04T06:30:55Z,
rev_paalam_profile_4f00012a0c2a_scope_review,ai_extraction,paalam_profile_4f00012a0c2a,paalam,paalam_profile_4f00012a0c2a,scope_review,Barangay kagawad; death by stabbing with an arrested suspect; no drug-war link. Likely out of scope.,high,Yani,needs_follow_up,Barangay kagawad; death by stabbing with an arrested suspect; no drug-war link. Likely out of scope.,2026-06-04T06:30:55Z,
rev_paalam_profile_97e28fa3739c_scope_review,ai_extraction,paalam_profile_97e28fa3739c,paalam,paalam_profile_97e28fa3739c,scope_review,Public school teacher (and brother) killed by unknown assailants; no drug-war link. Scope call.,high,Yani,needs_follow_up,Public school teacher (and brother) killed by unknown assailants; no drug-war link. Scope call.,2026-06-04T06:30:55Z,
rev_paalam_profile_5e681047a265_unnamed_victim,ai_extraction,paalam_profile_5e681047a265,paalam,paalam_profile_5e681047a265,unnamed_victim,"Unnamed victim (woman, Manila). Naming/identification follow-up.",high,Yani,needs_follow_up,"Unnamed victim (woman, Manila). Naming/identification follow-up.",2026-06-04T06:30:55Z,
rev_paalam_profile_d2042b7e093d_unnamed_victim,ai_extraction,paalam_profile_d2042b7e093d,paalam,paalam_profile_d2042b7e093d,unnamed_victim,"Unnamed victim (man, Manila); no Date of Incident in profile.",high,Yani,needs_follow_up,"Unnamed victim (man, Manila); no Date of Incident in profile.",2026-06-04T06:30:55Z,
rev_paalam_profile_93bd036005e7_unnamed_victim,ai_extraction,paalam_profile_93bd036005e7,paalam,paalam_profile_93bd036005e7,unnamed_victim,Unnamed victim (woman); manner conflict (profile 'police operation' vs source unknown gunman).,high,Yani,needs_follow_up,Unnamed victim (woman); manner conflict (profile 'police operation' vs source unknown gunman).,2026-06-04T06:30:55Z,
rev_paalam_profile_2e2cee06ecf6_scope_review,ai_extraction,paalam_profile_2e2cee06ecf6,paalam,paalam_profile_2e2cee06ecf6,scope_review,Elderly farmer found shot; no drug-war link in source; manner 'Found dead'. Scope call.,high,Yani,needs_follow_up,Elderly farmer found shot; no drug-war link in source; manner 'Found dead'. Scope call.,2026-06-04T06:30:55Z,
rev_paalam_profile_0cbfb0e74d36_unnamed_victim,ai_extraction,paalam_profile_0cbfb0e74d36,paalam,paalam_profile_0cbfb0e74d36,unnamed_victim,"Unnamed victim (woman, Quezon City).",high,Yani,needs_follow_up,"Unnamed victim (woman, Quezon City).",2026-06-04T06:30:55Z,
rev_paalam_profile_ee78d68e98a7_scope_review,ai_extraction,paalam_profile_ee78d68e98a7,paalam,paalam_profile_ee78d68e98a7,scope_review,18-year-old killed with his councilor father by unknown assailants; no drug-war link; gender not stated.,high,Yani,needs_follow_up,18-year-old killed with his councilor father by unknown assailants; no drug-war link; gender not stated.,2026-06-04T06:30:55Z,
rev_paalam_profile_cf5a2b5866ef_sensitive_official,ai_extraction,paalam_profile_cf5a2b5866ef,paalam,paalam_profile_cf5a2b5866ef,sensitive_official,Member of a political clan named by the president re: drug trade; manner conflict (profile 'police operation' vs source assassination at home).,high,Yani,needs_follow_up,Member of a political clan named by the president re: drug trade; manner conflict (profile 'police operation' vs source assassination at home).,2026-06-04T06:30:55Z,
rev_paalam_profile_5ce90fddb70d_sensitive_official,ai_extraction,paalam_profile_5ce90fddb70d,paalam,paalam_profile_5ce90fddb70d,sensitive_official,Barangay chairman ambushed by unknown assailants; no drug-war link in source. Editorial call.,high,Yani,needs_follow_up,Barangay chairman ambushed by unknown assailants; no drug-war link in source. Editorial call.,2026-06-04T06:30:55Z,
rev_paalam_profile_4026ed3c52ea_missing_source,scrape_target,paalam_profile_4026ed3c52ea,paalam,paalam_profile_4026ed3c52ea,missing_source,Scraped page (Alexander Ibanez) had 0 outgoing source links; not extracted. Needs source check.,high,Yani,needs_follow_up,Scraped page (Alexander Ibanez) had 0 outgoing source links; not extracted. Needs source check.,2026-06-04T06:30:55Z,
rev_paalam_profile_ddd1994b2137_missing_source,scrape_target,paalam_profile_ddd1994b2137,paalam,paalam_profile_ddd1994b2137,missing_source,Scraped page had no usable source link; not extracted. Needs source check.,high,Yani,needs_follow_up,Scraped page had no usable source link; not extracted. Needs source check.,2026-06-04T06:30:55Z,
